GCF	BGC Name	Organism	BGC Class	product	description
GCF26	BGC0000301	Planktothrix agardhii NIVA-CYA 126/8	NRPS	NRPS	Planktothrix agardhii NIVA-CYA 126/8 anabaenopeptin biosynthesis gene cluster, complete sequence
GCF7	BGC0001344	Cystobacter sp. SBCb004	NRPS.PKS	NRPS.T1PKS	Cystobacter sp. SBCb004 tubulysin biosynthesis gene cluster; complete sequence
GCF41	BGC0001325	.	NA	unknown	Noscapine biosynthetic gene cluster
GCF138	BGC0000164	Streptomyces sp. NRRL 11266	PKS	T1PKS	Streptomyces sp. NRRL 11266 tetronomycin biosynthetic gene cluster, partial and complete cds
GCF63	BGC0002432	Brevibacillus laterosporus LMG 15441	NRPS	NRPS	Brevibacillus laterosporus LMG 15441, complete genome
GCF327	BGC0000878	Streptomyces alboniger	other	nucleoside	Streptomyces alboniger napH, pur7, pur10, pur6, pur4, pur5 and pur3 genes
GCF74	BGC0002329	Trinickia caryophylli	NRPS	NRP-metallophore.NRPS	Trinickia caryophylli strain DSM 50341 000000F_arrow, whole genome shotgun sequence
GCF199	BGC0002485	Desmonostoc sp. PCC 7906	RiPP	azole-containing-RiPP.cyanobactin	Desmonostoc sp. PCC 7906 muscoride biosynthetic gene cluster, complete sequence
GCF54	BGC0002141	Streptomyces bottropensis	PKS.other.saccharide	T2PKS.betalactone.oligosaccharide	Streptomyces bottropensis strain DO-45 trioxacarcin biosynthetic gene cluster, partial sequence
GCF6	BGC0002433	Azotobacter vinelandii DJ	NRPS	NRP-metallophore.NRPS	Azotobacter vinelandii DJ, complete genome
GCF126	BGC0000689	Micromonospora echinospora	other	2dos	Micromonospora purpurea DOS biosynthetic gene cluster
GCF51	BGC0002007	Amycolatopsis tolypomycina	terpene	terpene	Amycolatopsis tolypomycina strain DSM 44544, whole genome shotgun sequence
GCF86	BGC0000960	Streptomyces sahachiroi	NRPS.PKS	NRPS.NRPS-like.T1PKS	Streptomyces sahachiroi azinomycin B gene cluster, partial sequence
GCF63	BGC0000400	Paenibacillus sp. OSY-SE	NRPS	NRPS	Paenibacillus sp. OSY-SE paenibacterin synthetase gene cluster, complete sequence
GCF3	BGC0001128	Photorhabdus laumondii subsp. laumondii TTO1	NRPS	NRPS	Photorhabdus luminescens subsp. laumondii TTO1 complete genome
GCF2	BGC0000632	Nocardia terpenica	terpene	terpene	Nocardia terpenica strain IFM 0406 genomic scaffold scaffold2, whole genome shotgun sequence
GCF46	BGC0000011	Aspergillus ochraceoroseus	PKS	T1PKS	Aspergillus ochraceoroseus strain SRRC 1432 aflatoxin/sterigmatocystin gene cluster, complete sequence
GCF23	BGC0001207	Eleftheria terrae	NRPS	NRPS	Eleftheria terrae teixobactin gene cluster, complete sequence
GCF101	BGC0001422	Myxococcus fulvus HW-1	NRPS.PKS	NRPS.T1PKS	Myxococcus fulvus HW-1 myxochromide A biosynthetic gene cluster, complete sequence
GCF23	BGC0001312	Pseudomonas fluorescens SBW25	NRPS	NRP-metallophore.NRPS	Pseudomonas fluorescens SBW25 complete genome
GCF47	BGC0002709	Fusarium graminearum PH-1	PKS	T1PKS	Fusarium graminearum PH-1 chromosome 1, whole genome shotgun sequence
GCF4	BGC0001056	Serratia plymuthica RVH1	NRPS.PKS	NRPS.PUFA.T1PKS.hglE-KS	Serratia plymuthica zeamine operon, strain RVH1
GCF97	X00005_1.region003	Paenibacillus sp Unclassified.	other	NI-siderophore	Paenibacillus sp strain X00005
GCF55	BGC0000924	Pseudomonas chlororaphis	other	other	Pseudomonas chlororaphis pyrrolnitrin biosynthetic gene cluster, complete sequence
GCF51	BGC0002045	Streptomonospora sp. PA3	PKS	T2PKS	Streptomonospora sp. PA3 scaffold1.1, whole genome shotgun sequence
GCF54	BGC0002028	Streptomyces griseus	PKS	T2PKS	Streptomyces griseus strain NTK97 putative methyltransferase gene, complete cds; frigocyclinone gene cluster, complete sequence; and NAD(P)-dependent oxidoreductase gene, complete cds
GCF47	BGC0001865	Parastagonospora nodorum SN15	PKS	T1PKS	Parastagonospora nodorum SN15 chromosome Unknown scaffold_13, whole genome shotgun sequence
GCF54	BGC0002047	Nocardia brasiliensis	PKS	T2PKS	Nocardia brasiliensis strain AUSMDU00024985 brasiliquinone gene locus, complete sequence
GCF34	BGC0002992	Streptomyces sp. WAC 01420	NRPS.PKS	NRPS.NRPS-like.T3PKS	Streptomyces sp. WAC1420 genomic sequence
GCF86	BGC0000036	Streptomyces antibioticus	PKS	PKS-like.T1PKS	Streptomyces antibioticus acetyltransferase gene, partial cds; hypothetical protein and Orf0 genes, complete cds; chlorothricin biosynthetic gene cluster, complete sequence; ChlC7, ChlB1, ChlB4, ChlB2, ChlB3, ChlH, ChlC5, ChlC4, ChlC3, ChlI, ChlJ, ChlF2, ChlK, ChlC2, ChlC1, ChlC6, ChlL, peptidase M20, putative helicase, and ankyrin genes, complete cds; tankyrase1-binding protein gene, partial cds; and unknown gene
GCF130	BGC0002064	Amycolatopsis sp. YIM 10	RiPP	lassopeptide	Amycolatopsis sp. YIM 10 chromosome, complete genome
GCF55	BGC0002014	Actinobacteria bacterium OK006	NRPS.PKS.other	NRPS.arylpolyene.other	Actinobacteria bacterium OK006 ctg4, whole genome shotgun sequence
GCF184	BGC0000670	Arabidopsis thaliana	terpene	terpene	Arabidopsis thaliana chromosome 5, partial sequence
GCF197	BGC0001295	Streptomyces cremeus	NA	unknown	Streptomyces cremeus cremeomycin biosynthetic gene cluster, complete sequence
GCF182	BGC0001277	Fusarium graminearum	terpene	terpene	Gibberella zeae strain GZ3639 trichothecene gene cluster, complete sequence
GCF4	BGC0001211	Amycolatopsis alba DSM 44262	NRPS	NRP-metallophore.NRPS	Amycolatopsis alba DSM 44262 scaffold1, whole genome shotgun sequence
GCF108	BGC0001327	Micromonospora purpureochromogenes	NRPS.PKS	NRPS.T1PKS	Micromonospora purpureochromogenes strain NRRL B-2672 contig1.1, whole genome shotgun sequence
GCF88	BGC0000867	Ectothiorhodospira shaposhnikovii	NA	unknown	Ectothiorhodospira shaposhnikovii polyhydroxyalkanoic acid biosynthetic gene cluster, complete sequence
GCF117	BGC0002218	Dentipellis sp. KUC8613	terpene	terpene	Dentipellis sp. KUC8613 scaffold_9, whole genome shotgun sequence
GCF208	BGC0000088	Aspergillus terreus	PKS	T1PKS	Aspergillus terreus strain ATCC 20542 esterase, cytochrome P450 monooxygenase (lovA), enoyl reductase (lovC), transesterase (lovD), hydroxymethylglutaryl-coenzyme A reductase, regulatory protein (lovE), polyketide synthase (lovF), regulatory protein, and cytochrome P450 monooxygenase genes, complete cds; and unknown genes
GCF34	BGC0000440	Actinoplanes teichomyceticus	NRPS.PKS	NRPS.T3PKS	Actinoplanes teichomyceticus gene cluster for biosynthesis of glycopeptide antibiotic teicoplanin
GCF268	BGC0000616	Bacillus velezensis FZB42	RiPP	RiPP-like	Bacillus amyloliquefaciens subsp. plantarum str. FZB42, complete genome
GCF165	BGC0000094	Streptomyces venezuelae	PKS	T1PKS	Streptomyces venezuelae methymycin/pikromycin polyketide synthase gene cluster, complete sequence
GCF84	BGC0001134	Photorhabdus laumondii subsp. laumondii TTO1	NA	unknown	Photorhabdus laumondii subsp. laumondii TTO1, complete sequence
GCF155	BGC0002587	Streptomyces ossamyceticus	PKS	T1PKS	Streptomyces ossamyceticus strain DSM 40824 substrain PFL_A933 macrocyclic polyketide ossamycin biosynthetic gene cluster, complete sequence
GCF228	BGC0000700	Streptomyces tenjimariensis	other	2dos.melanin	Streptomyces tenjimariensis istamycin biosynthesis cluster, strain ATCC 31603
GCF153	BGC0000609	Nocardia sp. ATCC 202099	RiPP	azole-containing-RiPP	Nocardia sp. ATCC 202099 nocathiacin I biosynthetic gene cluster, complete sequence
GCF2	BGC0002089	Streptomyces scabiei 87.22	NRPS	NRPS	Streptomyces scabiei 87.22 complete genome
GCF169	BGC0002550	Streptomyces olivaceus	PKS.other.saccharide	T1PKS.oligosaccharide.other	Streptomyces olivaceus strain SCSIO T05 lobophorin biosynthetic gene cluster, complete sequence
GCF86	BGC0000153	Stigmatella aurantiaca Sg a15	PKS	T1PKS	Stigmatella aurantiaca ORF8, ORF7, ORF6, ORF5, ORF4, ORF3, ORF2, ORF1, stiA gene, stiB gene, stiC gene, stiD gene, stiE gene, stiF gene, stiG gene, stiH gene, stiJ gene, stiK gene, stiL gene and ORF9
GCF145	BGC0002993	Penicillium oxalicum	NRPS.PKS	NRPS.T1PKS	Penicillium oxalicum OpdA (opdA) gene, partial cds
GCF54	BGC0001852	Streptomyces sp. NRRL S-378	PKS.other.saccharide	T2PKS.oligosaccharide.other	Streptomyces sp. NRRL S-378 contig2.1, whole genome shotgun sequence
GCF254	BGC0003070	Streptomyces sp.	PKS	T1PKS	Streptomyces sp. strain JJC13 IS4 family transposase genes, complete cds; jejucarboside A biosynthetic gene cluster, complete sequence; and transposase and DUF899 domain-containing protein genes, complete cds
GCF67	X00006_1.region003	Paenibacillus sp Unclassified.	NRPS.PKS	NRPS.transAT-PKS	Paenibacillus sp strain X00006
GCF337	X00002_1.region011	Paenibacillus sp Unclassified.	RiPP	cyclic-lactone-autoinducer	Paenibacillus sp strain X00002
GCF44	BGC0003073	Crossiella cryophila	terpene	terpene	Crossiella cryophila strain DSM 44230 Ga0197469_01, whole genome shotgun sequence
GCF263	BGC0000774	Xanthomonas campestris pv. campestris	NA	unknown	Xanthomonas campestris pv. campestris LPS biosynthetic cluster, partial sequence; and putative electron-transferring flavoprotein beta subunit (etfS) and putative electron-transferring flavoprotein alpha subunit (etfL) genes, complete cds
GCF97	BGC0000724	Streptomyces griseus subsp. griseus NBRC 13350	other	amglyccycl	Streptomyces griseus subsp. griseus NBRC 13350 DNA, complete genome
GCF323	X00013_2.region003	Paenibacillus sp Unclassified.	terpene	terpene-precursor	Paenibacillus sp strain X00013
GCF72	BGC0002682	Vibrio mimicus	other	NI-siderophore	Vibrio mimicus matC, matD, matB, iucA, iucB, iucC, iucD, iutA genes and methyl accepting chemotaxis gene, complete cds
GCF124	BGC0000982	Cystobacter fuscus	NRPS.PKS	NRPS.T1PKS	Cystobacter fuscus cystothiazole A gene cluster, complete sequence
GCF46	BGC0002236	Aspergillus oryzae RIB40	PKS	T1PKS	Aspergillus oryzae RIB40 DNA, SC010
GCF114	BGC0001937	Streptomyces tubercidicus	NA	unknown	Streptomyces tubercidicus strain NBRC 13090 tubercidin biosynthetic gene cluster, complete sequence
GCF331	BGC0001731	Streptomyces paulus	PKS	PKS-like	Streptomyces paulus strain NRRL8115 paulomycin biosynthetic gene cluster, complete sequence
GCF47	BGC0001720	Beauveria bassiana ARSEF 2860	PKS	T1PKS	Beauveria bassiana ARSEF 2860 unplaced genomic scaffold BBA_S00032, whole genome shotgun sequence
GCF4	BGC0002440	Streptomyces sp.	NRPS.other	NRPS.betalactone	Streptomyces sp. strain KUSC_F05 longicatenamide biosynthetic gene cluster, complete sequence
GCF143	BGC0001405	Chaetomium globosum CBS 148.51	PKS	T1PKS	Chaetomium globosum CBS 148.51 scaffold_5 genomic scaffold, whole genome shotgun sequence
GCF259	BGC0001601	Lactobacillus gasseri	RiPP	RiPP-like	Lactobacillus gasseri LA327 DNA, gassericin-S gene cluster
GCF150	X00011_2.region012	Paenibacillus sp Unclassified.	terpene	terpene-precursor	Paenibacillus sp strain X00011
GCF153	BGC0000613	Nonomuraea sp. Bp3714-39	RiPP	azole-containing-RiPP	Nonomuraea sp. Bp3714-39 thiomuracin gene cluster, complete sequence
GCF153	BGC0000877	Streptomyces asoensis	other	nucleoside	Streptomyces cacaoi subsp. asoensis polyoxin biosynthetic gene cluster, complete sequence
GCF271	BGC0002168	Aspergillus stellatus	PKS	T1PKS	Aspergillus stellatus strain NBRC 32302 calbistrin A biosynthetic gene cluster, complete sequence
GCF157	BGC0002869	Streptomyces sp. CB04723	NRPS.PKS	NRPS-like.arylpolyene	Streptomyces sp. CB04723 chromosome, complete genome
GCF256	X00001_1.region008	Paenibacillus sp Unclassified.	terpene	terpene-precursor	Paenibacillus sp strain X00001
GCF54	BGC0000221	uncultured soil bacterium V167	PKS	T2PKS	Uncultured soil bacterium V167 Erd gene cluster, complete sequence; and unknown genes
GCF131	BGC0002307	Streptomyces humidus	RiPP	lassopeptide	Streptomyces humidus strain CA-100629 humidimycin biosynthetic gene cluster, complete sequence
GCF51	BGC0001897	Burkholderia ambifaria IOP40-10	other	hserlactone.polyyne	Burkholderia ambifaria IOP40-10 ctg00022, whole genome shotgun sequence
GCF284	X00013_2.region007	Paenibacillus sp Unclassified.	terpene	terpene	Paenibacillus sp strain X00013
GCF180	BGC0002427	Metarhizium robertsii ARSEF 23	PKS.terpene	T1PKS.terpene	Metarhizium robertsii ARSEF 23 MAA_Scf_14, whole genome shotgun sequence
GCF255	BGC0000693	Niallia circulans	other	amglyccycl	Bacillus circulans butirosin-biosynthetic gene cluster (orf1, btrR1, btrU, btrR2, btrT, btrS, btrN, btrM, btrL, btrA, btrB, btrC, btrD, btrE, btrF, btrG, btrH, btrI, btrJ, btrK, btrO, btrP, btrV, btrQ, btrW, btrX), complete and partial cds
GCF159	BGC0001563	Curvularia pallescens	NRPS.PKS	NRPS.T1PKS	Cochliobolus pallescens DNA, curvupallides biosynthesis gene cluster, complete sequence, strain: DSM 62482
GCF180	BGC0001547	Aspergillus stellatus	terpene	terpene	Aspergillus stellatus DNA, citreohybridonol biosynthetic gene cluster, complete sequence, strain: NBRC 32302
GCF41	BGC0001316	.	NA	unknown	Linamarin / Lotaustralin biosynthetic gene cluster
GCF4	BGC0000388	Streptomyces hygroscopicus	NRPS	NRPS	Streptomyces hygroscopicus mannopeptimycin biosynthetic gene cluster, complete sequence
GCF164	BGC0001830	Salinispora mooreana	PKS	T1PKS	Salinispora mooreana strain CNS-237 spr gene cluster, complete sequence
GCF97	BGC0000410	Pseudomonas fluorescens	NRPS	NRP-metallophore.NRPS	Pseudomonas fluorescens strain WCS374 siderophore pseudomonine biosynthesis and transport gene cluster, partial sequence
GCF281	BGC0000745	Streptococcus agalactiae	NA	unknown	Streptococcus agalactiae strain GB00/031 capsular polysaccharide biosynthesis gene cluster, partial sequence
GCF164	BGC0000096	Streptomyces mycarofaciens	PKS	T1PKS	Midecamycin biosynthetic gene cluster
GCF46	BGC0001866	Paecilomyces variotii	PKS	T1PKS	Paecilomyces variotii strain CBS 101075 chromosome Unknown C8Q69scaffold_14, whole genome shotgun sequence
GCF42	BGC0002103	Bacillus subtilis subsp. subtilis str. 168	NRPS	CDPS	Bacillus subtilis subsp. subtilis str. 168 complete genome
GCF138	BGC0001944	Streptosporangium sp.	PKS	T1PKS	Streptosporangium sp. strain KD35 funisamine biosynthetic gene cluster, partial sequence
GCF100	BGC0000028	Streptomyces lohii	PKS	T1PKS	Streptomyces lohii strain ATCC BAA-1276 bafilomycin biosynthetic gene cluster, complete sequence; and putative LuxR-like protein, putative malonyl transferase, and putative CoA ligase genes, complete cds
GCF299	BGC0002633	Leptolyngbya sp. PCC 7376	other	NI-siderophore	Leptolyngbya sp. PCC 7376, complete genome
GCF127	BGC0000981	Aphanizomenon sp. 10E6	NRPS.PKS	NRPS-like.T1PKS	Aphanizomenon sp. 10E6 RNA-binding S1 domain-containing protein, oxidoreductase alpha subunit, transposase, and hypothetical protein genes, complete cds; cylindrospermopsin biosynthesis gene cluster, complete sequence; and hypothetical proteins, putative nucleotidyl transferase, putative cell envelope-related transcriptional attenuator, pentapeptide repeat-containing protein, and putative integral membrane protein MviN genes, complete cds
GCF75	BGC0000829	Chromobacterium violaceum	other	indole	Chromobacterium violaceum violacein biosynthetic gene cluster, complete sequence
GCF37	BGC0002680	Chromobacterium violaceum ATCC 12472	NRPS	NRPS	Chromobacterium violaceum ATCC 12472, complete genome
GCF76	BGC0000622	Priestia megaterium	NA	unknown	Bacillus megaterium plasmid pBM309 P91, P293A, P62, P85, P293B, P188, and P73 genes, complete cds; tRNA-Cys gene, complete sequence; and P185 gene, complete cds
GCF284	X00010_1.region008	Paenibacillus sp Unclassified.	terpene	terpene	Paenibacillus sp strain X00010
GCF12	X00011_1.region001	Paenibacillus sp Unclassified.	NRPS	NRPS	Paenibacillus sp strain X00011
GCF154	BGC0002515	Ascochyta rabiei	PKS	T1PKS	Ascochyta rabiei isolate Me14 Arab_Me14_ctg07, whole genome shotgun sequence
GCF166	BGC0001856	Streptomyces caniferus	PKS	PKS-like.T1PKS	Streptomyces caniferus sequence
GCF72	BGC0000306	Streptomyces filamentosus NRRL 11379	NRPS	NRPS	Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence
GCF324	X00001_1.region013	Paenibacillus sp Unclassified.	NRPS.PKS	NRPS.T1PKS.transAT-PKS	Paenibacillus sp strain X00001
GCF151	BGC0001190	Fusarium verticillioides 7600	NRPS.PKS	NRPS-like.T1PKS	Fusarium verticillioides 7600 chromosome 3, whole genome shotgun sequence
GCF23	BGC0002572	Nostoc sp. UHCC 0702	NRPS	NRPS	Nostoc sp. UHCC 0702 chromosome, complete genome
GCF84	BGC0000598	bacterium symbiont of Theonella swinhoei pTSMAC1 Bacteria.	RiPP	proteusin	Bacterium symbiont of Theonella swinhoei pTSMAC1 genomic sequence
GCF54	BGC0002140	Streptomyces sp. MBT84	PKS.saccharide	T2PKS.oligosaccharide	Streptomyces sp. MBT84 MBT84_1, whole genome shotgun sequence
GCF11	BGC0001984	Streptomyces sp.	NRPS	NRPS	Streptomyces sp. strain KO-7888 sarpeptins NRPS biosynthetic gene cluster, complete sequence
GCF68	BGC0001458	Salinispora tropica CNB-440	other	butyrolactone	Salinispora tropica CNB-440, complete sequence
GCF117	BGC0001515	Aspergillus nidulans FGSC A4	NRPS	NRPS	TPA_asm: Aspergillus nidulans FGSC A4 chromosome II
GCF194	BGC0002846	Orpheovirus IHUMI-LCC2	terpene	terpene	Orpheovirus IHUMI-LCC2 genome assembly, complete genome: monopartite
GCF8	BGC0000627	Aspergillus flavus NRRL3357	RiPP	fungal-RiPP	Aspergillus flavus NRRL3357 scf_1106286418846 genomic scaffold, whole genome shotgun sequence
GCF54	BGC0000190	Streptomyces sp. SANK 61196	PKS	T2PKS	Streptomyces sp. SANK 61196 SAN biosynthetic gene cluster, complete sequence
GCF188	BGC0001286	Ustilago maydis	NA	unknown	Ustilago maydis strain MB215 itaconic acid biosynthesis gene cluster, complete sequence
GCF155	BGC0002558	Streptomyces sp.	PKS	PKS-like.T1PKS	Streptomyces sp. BYK-11038 DNA, scopranone biosynthetic gene cluster, complete sequence
GCF96	X00012_1.region001	Paenibacillus sp Unclassified.	NRPS	NRPS	Paenibacillus sp strain X00012
GCF138	BGC0000086	Streptomyces lasalocidi	PKS	T1PKS	Streptomyces lasaliensis plasmid pKSL polyether antibiotic lasalocid biosynthesis gene cluster, partial sequence
GCF4	BGC0001968	uncultured bacterium	NRPS	NRPS	Uncultured bacterium clone EPI300 non-ribosomal peptide synthetase gene, partial cds; non-ribosomal peptide synthetase gene, complete cds; cde biosynthetic gene cluster, complete sequence; and UDP-N-acetylglucosamine 1-carboxyvinyltransferase, DNA-binding protein, aconitate hydratase, hypothetical protein, caspase family protein, acetylxylan esterase, sugar ABC transporter permease, carbohydrate ABC transporter permease, extracellular solute-binding protein, xylan 1,4-beta-xylosidase, hypothetical protein, alpha-glucuronidase, alpha-mannosidase, carbohydrate ABC transporter, sugar ABC transporter permease, and carbohydrate ABC transporter permease genes, complete cds
GCF116	BGC0001415	Serratia marcescens subsp. marcescens Db11	NRPS.PKS	NRPS.T1PKS	Serratia marcescens subsp. marcescens Db11, complete genome
GCF145	BGC0002093	Talaromyces variabilis	NRPS.PKS	NRPS.T1PKS	Talaromyces variabilis HXQ-H-1 polyketide synthase-nonribosomal peptide synthetase (iccA), ring expansion P450 (iccC), short-chain dehydrogenase TIC 32 (iccH), epimerase (iccE), Diels-Alderase (iccD), cytochrome P450 (iccF), trans-enoyl reductase (iccB), and NADH-dependent flavin oxidoreductase (iccG) genes, complete cds
GCF263	BGC0000736	Mannheimia haemolytica	NA	unknown	Pasteurella haemolytica capsule biosynthetic gene cluster, partial sequence
GCF300	BGC0000945	Vibrio cholerae O1 biovar El Tor str. N16961	NRPS	NRP-metallophore	Vibrio cholerae O1 biovar eltor str. N16961 chromosome I, complete sequence
GCF97	BGC0002687	Massilia sp. NR 4-1	NRPS.PKS	NRPS.T1PKS	Massilia sp. NR 4-1, complete genome
GCF186	BGC0002536	Kitasatospora azatica KCTC 9699	NA	unknown	Kitasatospora azatica KCTC 9699 BR98DRAFT_unitig_0_quiver.3_C, whole genome shotgun sequence
GCF71	BGC0002123	Pseudovibrio brasiliensis	NRPS	NRPS	Pseudovibrio brasiliensis strain Ab134 plasmid pAb134-02, complete sequence
GCF336	X00012_1.region011	Paenibacillus sp Unclassified.	RiPP	cyclic-lactone-autoinducer	Paenibacillus sp strain X00012
GCF63	X00011_2.region009	Paenibacillus sp Unclassified.	NRPS	NRPS	Paenibacillus sp strain X00011
GCF236	BGC0001226	Streptomyces collinus Tu 365	RiPP	lanthipeptide-class-iv	Streptomyces collinus Tu 365 chromosome, complete genome
GCF2	BGC0001154	Catenulispora acidiphila DSM 44928	other	aminocoumarin	Catenulispora acidiphila DSM 44928 chromosome, complete genome
GCF126	BGC0001603	Micromonospora echinospora	other	2dos	Micromonospora echinospora strain ATCC 15835 hypothetical protein and putative tryptophanyl-tRNA synthatase genes, complete cds; gentamycin biosynthetic gene cluster, complete sequence; and hypothetical protein, putative two-component system histidine kinase, and putative two-component system response regulator genes, complete cds
GCF41	BGC0002207	Psilocybe cyanescens	NA	unknown	Psilocybe cyanescens strain 2631 scaffold5617, whole genome shotgun sequence
GCF179	BGC0001726	Streptomyces pactum	NRPS.PKS	NRPS.T1PKS	Streptomyces pactum strain SCSIO 02999 PTM biosynthetic gene cluster, complete sequence; and Xia gene cluster, partial sequence
GCF154	BGC0001926	Talaromyces verruculosus	PKS.terpene	T1PKS.terpene	Talaromyces verruculosus TPU1311 chrodrimanin B biosynthetic gene cluster, complete sequence
GCF108	BGC0001330	Micromonospora sp. RV43	NRPS.PKS.terpene	NRPS.T1PKS.terpene-precursor	Micromonospora sp. RV43 contig4_size105044, whole genome shotgun sequence
GCF64	BGC0001418	Hyalangium minutum	NRPS.PKS	NRPS.T1PKS	Hyalangium minutum strain DSM 14724 myxochromide D subtype 1 biosynthetic gene cluster and tRNA-Thr gene, complete sequence
GCF54	BGC0000254	Streptomyces rimosus	PKS	T2PKS	Streptomyces rimosus oxytetracycline gene cluster, complete sequence
GCF265	BGC0002690	Verrucosispora sp. FIM060022	other	NI-siderophore	Verrucosispora sp. FIM060022 scaffold11, whole genome shotgun sequence
GCF117	BGC0001824	Xenorhabdus beddingii	NRPS	NRPS	Xenorhabdus beddingii strain DSM 4764 Xbed_10, whole genome shotgun sequence
GCF68	BGC0002578	Streptomyces venezuelae ATCC 10712	other	butyrolactone	Streptomyces venezuelae ATCC 10712 complete genome
GCF109	BGC0000754	Avibacterium paragallinarum	NA	unknown	Avibacterium paragallinarum strain TW95 capsule biosynthesis region 2 gene cluster, complete sequence
GCF228	BGC0000910	Streptomyces coelicolor A3(2)	other	melanin	Streptomyces coelicolor A3(2) complete genome
GCF301	X00001_1.region014	Paenibacillus sp Unclassified.	other	opine-like-metallophore	Paenibacillus sp strain X00001
GCF109	BGC0000756	Avibacterium paragallinarum	NA	unknown	Avibacterium paragallinarum strain H18 capsule biosynthesis region 2 gene cluster, complete sequence
GCF166	BGC0002098	Amycolatopsis keratiniphila	PKS	T1PKS	Amycolatopsis keratiniphila strain HCCB10007, complete genome
GCF121	BGC0001548	Streptomyces noursei	RiPP	lassopeptide	Streptomyces noursei strain B-3066 B3066_ACTTGA_L001_R1_001_(paired)_contig_20, whole genome shotgun sequence
GCF131	BGC0001920	Streptomyces sp.	RiPP	lassopeptide	Streptomyces sp. M-271 DNA, MS-271 biosynthetic gene cluster
GCF151	BGC0001141	Penicillium brefeldianum	PKS	T1PKS	Penicillium brefeldianum strain ATCC 58665 putative F-box domain protein, thiohydrolase, putative cytochrome P450s, HRPKS, putative large tegument protein UL36, putative WD-40 protein, and putative kinesin genes, complete cds
GCF50	BGC0003126	Aspergillus niger	PKS	T1PKS	Aspergillus niger contig An04c0360, genomic contig
GCF101	BGC0001427	Myxococcus xanthus	NRPS.PKS	NRPS.T1PKS	Myxococcus xanthus strain A47 myxochromide A biosynthetic gene cluster, complete sequence
GCF158	BGC0002164	Epichloe festucae	NRPS	NRPS	Epichloe festucae EF100, EF101, EF102, perA, EF103, EF104, EF105, EF106, EF107, EF108, EF109 genes, complete cds
GCF228	BGC0000908	Streptomyces avermitilis	other	melanin	Streptomyces avermitilis melanin biosynthetic gene cluster
GCF138	BGC0002308	Streptomyces sp.	PKS	T1PKS	Streptomyces sp. camporidines gene cluster, complete sequence
GCF203	BGC0001727	Paenibacillus polymyxa E681	RiPP	lanthipeptide-class-i	Paenibacillus polymyxa E681, complete genome
GCF208	BGC0000098	Monascus pilosus	PKS	T1PKS	Monascus pilosus monacolin K biosynthetic gene cluster, complete sequence
GCF81	BGC0002996	Penicillium palitans	NRPS	NRPS	Penicillium palitans viridicatol gene cluster, complete sequence
GCF10	BGC0002686	Actinomadura sp. WMMA1423	NRPS	NRP-metallophore.NRPS	Actinomadura sp. WMMA1423 chromosome
GCF164	BGC0000047	Streptomyces sp. KCTC 0041BP	PKS	T1PKS	Streptomyces sp. KCTC 0041BP dihydrochalcomyin biosynthesis gene cluster, complete sequence
GCF49	BGC0001304	Aspergillus flavus NRRL3357	PKS	T1PKS	Aspergillus flavus NRRL3357 scf_1106286419142 genomic scaffold, whole genome shotgun sequence
GCF12	BGC0000294	Acinetobacter baumannii	NRPS	NRP-metallophore	Acinetobacter baumannii genes involved in acinetobactin biosynthesis and ferric complex transport, complete cds
GCF197	BGC0000568	Escherichia coli	RiPP	azole-containing-RiPP	Escherichia coli microcin B17 operon (mcbGFEDCBA genes), strain L1000
GCF187	BGC0001220	Aspergillus aculeatus ATCC 16872	NRPS	NRPS	Aspergillus aculeatus ATCC 16872 unplaced genomic scaffold ASPACscaffold_5, whole genome shotgun sequence
GCF2	BGC0002293	Streptomyces sp.	NRPS	NRPS	Streptomyces sp. strain SNJ042 hypothetical protein and transposase genes, complete cds; ohmyungsamycin gene cluster, complete sequence; and hypothetical protein and acetyl xylan esterase genes, complete cds
GCF117	BGC0002525	Fusarium sp.	PKS	T1PKS	Fusarium sp. RK97-94 DNA, 1233A biosynthetic gene cluster, complete sequence
GCF143	BGC0000154	Talaromyces stipitatus ATCC 10500	PKS	T1PKS	Talaromyces stipitatus ATCC 10500 scf_1105507295555 genomic scaffold, whole genome shotgun sequence
GCF149	BGC0003163	Periglandula ipomoeae	other.terpene	indole.terpene	Periglandula ipomoeae strain IasaF13 indole-diterpene biosynthetic gene cluster, partial sequence
GCF286	BGC0002282	Streptomyces kaniharaensis	NA	unknown	Streptomyces kaniharaensis strain SF-557 unitig_0, whole genome shotgun sequence
GCF296	X00013_2.region002	Paenibacillus sp Unclassified.	RiPP	proteusin	Paenibacillus sp strain X00013
GCF187	BGC0001371	Aspergillus nidulans NRRL 8112	NRPS.other	NRPS.betalactone	Aspergillus nidulans NRRL 8112 echinocandin biosynthesis gene cluster, partial sequence
GCF218	BGC0001570	Streptomyces noursei	NRPS	NRPS	Streptomyces noursei strain B-3066 B3066_ACTTGA_L001_R1_001_(paired)_contig_7, whole genome shotgun sequence
